Date,ID,Latitude,Longitude,y_proj,x_proj,SM1,P1,SM2,P2,SM3,P3,SM4,P4,SM5,P5,SM6,P6,SM7,P7,Average,SD
4/19/13,HF019,42.43740502,-76.24827063,4699096.46,397331.61,21,0.92,28,0.96,25,0.95,22,0.93,NA,NA,NA,NA,NA,NA,24,3.16227766
5/16/13,HF019,42.43740502,-76.24827063,4699096.46,397331.61,15,0.88,14,0.88,17,0.9,NA,NA,NA,NA,NA,NA,NA,NA,15.33333333,1.527525232
6/27/13,HF019,42.43740502,-76.24827063,4699096.455,397331.6106,17,0.89,14,0.88,12,0.86,15,0.89,NA,NA,NA,NA,NA,NA,14.5,2.081665999
7/18/13,HF019,42.43740502,-76.24827063,4699096.455,397331.6106,10,0.84,9,0.84,10,0.84,NA,NA,NA,NA,NA,NA,NA,NA,9.666666667,0.577350269
8/15/13,HF019,42.43740502,-76.24827063,4699096.455,397331.6106,19,0.91,16,0.89,20,0.91,NA,NA,NA,NA,NA,NA,NA,NA,18.33333333,2.081665999
10/26/13,HF019,42.43740502,-76.24827063,4699096.455,397331.6106,34,1,30,0.98,31,0.98,NA,NA,NA,NA,NA,NA,NA,NA,31.66666667,2.081665999
11/2/12,HF031,42.43778438,-76.2524387,4699140.746,396989.294,54,1.11,59,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.5,3.535533906
11/9/12,HF031,42.43778438,-76.2524387,4699140.746,396989.294,47,1.07,45,1.06,49,1.09,NA,NA,NA,NA,NA,NA,NA,NA,47,2
11/16/12,HF031,42.43778438,-76.2524387,4699140.746,396989.294,48,1.087,50,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,1.414213562
11/30/12,HF031,42.43778438,-76.2524387,4699140.746,396989.294,35,1.01,40,1.04,44,1.06,NA,NA,NA,NA,NA,NA,NA,NA,39.666667,4.509249753
4/19/13,HF031,42.43778438,-76.2524387,4699140.75,396989.29,52,1.1,53,1.1,50,1.09,NA,NA,NA,NA,NA,NA,NA,NA,51.66666667,1.527525232
5/16/13,HF031,42.43778438,-76.2524387,4699140.75,396989.29,29,0.97,28,0.97,27,0.96,NA,NA,NA,NA,NA,NA,NA,NA,28,1
6/27/13,HF031,42.43778438,-76.2524387,4699140.746,396989.294,20,0.97,32,0.99,32,0.99,NA,NA,NA,NA,NA,NA,NA,NA,28,6.92820323
7/18/13,HF031,42.43778438,-76.2524387,4699140.746,396989.294,25,0.95,22,0.93,20,0.92,NA,NA,NA,NA,NA,NA,NA,NA,22.33333333,2.516611478
8/15/13,HF031,42.43778438,-76.2524387,4699140.746,396989.294,47,1.07,47,1.07,36,1.01,47,1.07,NA,NA,NA,NA,NA,NA,44.25,5.5
10/26/13,HF031,42.43778438,-76.2524387,4699140.746,396989.294,54,1.1,53,1.1,50,1.09,NA,NA,NA,NA,NA,NA,NA,NA,52.33333333,2.081665999
11/2/12,HF032,42.43776192,-76.25227693,4699137.643,397001.641,57,1.12,54,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5,2.121320344
11/9/12,HF032,42.43776192,-76.25227693,4699137.643,397001.641,46,1.07,48,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1.414213562
11/16/12,HF032,42.43776192,-76.25227693,4699137.643,397001.641,48,1.08,50,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,1.414213562
11/30/12,HF032,42.43776192,-76.25227693,4699137.643,397001.641,43,1.05,40,1.03,45,1.06,NA,NA,NA,NA,NA,NA,NA,NA,42.666667,2.516611478
4/19/13,HF032,42.43776192,-76.25227693,4699137.64,397001.64,47,1.07,48,1.08,51,1.09,NA,NA,NA,NA,NA,NA,NA,NA,48.66666667,2.081665999
5/16/13,HF032,42.43776192,-76.25227693,4699137.64,397001.64,30,0.98,30,0.98,35,1.01,NA,NA,NA,NA,NA,NA,NA,NA,31.66666667,2.886751346
6/27/13,HF032,42.43776192,-76.25227693,4699137.643,397001.641,27,0.96,27,0.96,27,0.96,NA,NA,NA,NA,NA,NA,NA,NA,27,0
7/18/13,HF032,42.43776192,-76.25227693,4699137.643,397001.641,11,0.85,15,0.88,15,0.88,NA,NA,NA,NA,NA,NA,NA,NA,13.66666667,2.309401077
8/15/13,HF032,42.43776192,-76.25227693,4699137.643,397001.641,37,1.02,36,1.01,34,1,NA,NA,NA,NA,NA,NA,NA,NA,35.66666667,1.527525232
10/26/13,HF032,42.43776192,-76.25227693,4699137.643,397001.641,47,1.07,48,1.08,39,1.03,47,1.07,NA,NA,NA,NA,NA,NA,45.25,4.193248542
11/2/12,HF034,42.43698978,-76.25262662,4699055.624,396972.6509,35,1.01,32,0.99,31,0.98,NA,NA,NA,NA,NA,NA,NA,NA,32.666667,2.081665999
11/9/12,HF034,42.43698978,-76.25262662,4699055.624,396972.6509,26,0.95,29,0.97,24,0.94,25,0.95,NA,NA,NA,NA,NA,NA,26,2.160246899
11/16/12,HF034,42.43698978,-76.25262662,4699055.624,396972.6509,29,0.97,27,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1.414213562
4/19/13,HF034,42.43698978,-76.25262662,4699055.62,396972.65,30,0.98,32,0.99,34,1,33,1,NA,NA,NA,NA,NA,NA,32.25,1.707825128
5/16/13,HF034,42.43698978,-76.25262662,4699055.62,396972.65,20,0.91,23,0.93,27,0.96,NA,NA,NA,NA,NA,NA,NA,NA,23.33333333,3.511884584
6/27/13,HF034,42.43698978,-76.25262662,4699055.624,396972.6509,22,0.93,20,0.92,19,0.92,NA,NA,NA,NA,NA,NA,NA,NA,20.33333333,1.527525232
7/18/13,HF034,42.43698978,-76.25262662,4699055.624,396972.6509,12,0.86,16,0.89,16,0.89,NA,NA,NA,NA,NA,NA,NA,NA,14.66666667,2.309401077
8/15/13,HF034,42.43698978,-76.25262662,4699055.624,396972.6509,25,0.95,26,0.95,28,0.96,NA,NA,NA,NA,NA,NA,NA,NA,26.33333333,1.527525232
10/26/13,HF034,42.43698978,-76.25262662,4699055.624,396972.6509,31,0.99,23,0.93,34,1,33,1,NA,NA,NA,NA,NA,NA,30.25,4.991659711
11/2/12,HF035,42.43826785,-76.25225823,4699197.094,397005.0445,34,1,29,0.91,26,0.96,31,0.98,NA,NA,NA,NA,NA,NA,30,3.366501646
11/9/12,HF035,42.43826785,-76.25225823,4699197.094,397005.0445,28,0.97,26,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1.414213562
11/16/12,HF035,42.43826785,-76.25225823,4699197.094,397005.0445,23,0.93,21,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,1.414213562
11/30/12,HF035,42.43826785,-76.25225823,4699197.094,397005.0445,27,0.96,27,0.96,26,0.95,NA,NA,NA,NA,NA,NA,NA,NA,26.666667,0.577350269
4/19/13,HF035,42.43826785,-76.25225823,4699197.09,397005.04,34,1,33,1,34,1,NA,NA,NA,NA,NA,NA,NA,NA,33.66666667,0.577350269
5/16/13,HF035,42.43826785,-76.25225823,4699197.09,397005.04,16,0.89,24,0.94,16,0.89,16,0.89,NA,NA,NA,NA,NA,NA,18,4
6/27/13,HF035,42.43826785,-76.25225823,4699197.094,397005.0445,20,0.92,22,0.92,14,0.97,22,0.93,NA,NA,NA,NA,NA,NA,19.5,3.785938897
7/18/13,HF035,42.43826785,-76.25225823,4699197.094,397005.0445,8,0.83,11,0.85,16,0.89,15,0.88,NA,NA,NA,NA,NA,NA,12.5,3.696845502
8/15/13,HF035,42.43826785,-76.25225823,4699197.094,397005.0445,19,0.91,24,0.94,18,0.91,30,0.98,22,0.93,NA,NA,NA,NA,22.6,4.774934555
10/26/13,HF035,42.43826785,-76.25225823,4699197.094,397005.0445,26,0.95,27,0.97,29,0.97,NA,NA,NA,NA,NA,NA,NA,NA,27.33333333,1.527525232
